"BehaviorSpace results (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"Yes_50% knowladge"
"01/22/2022 22:30:18:485 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-perc-singles","initial-num-collection-points","show-bottles?","fraction-of-collection","model-version","population","initial-perc-families","fraction-of-technology","total-budget","fraction-of-campaign","recycling-changing-ratio","initial-perc-couples","max-bottles","initial-num-recycling-companies","C-capacity","collection-changing-ratio","R-capacity","[step]","total-collection","total-recycle","rate-recycling"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","6","0","0","0.8776024136922735"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","7","0","0","0.2586041429435894"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","5","0","0","0.8447132444931177"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","7","0","0","0.7312788512217505"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","4","0","0","0.6164219412880247"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","3","0","0","0"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","7","0","0","0.8776024136922735"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","8","0","0","0.7473692932910991"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","8","0","0","0.5303571428571429"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","5","0","0","0.6164219412880247"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","6","0","0","0.4942788387726896"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","6","0","0","0.8447132444931177"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","9","0","0","0.7473692932910991"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","9","0","0","0.5303571428571429"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","4","0","0","0.740865742434399"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","8","0","0","0.9234697413106896"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","7","0","0","0.4942788387726896"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","7","0","0","0.8447132444931177"
"7","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","10","0","0","0.7473692932910991"
"6","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","9","0","0","0.9234697413106896"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","10","0","0","0.5303571428571429"
"5","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","5","0","0","0.740865742434399"
"8","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","6","0","0","0.6164219412880247"
"2","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","8","0","0","0.8536538926489314"
"3","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","8","0","0","0.21323076923076922"
"4","0.5","5","true","0.25","yes-policy","100","0.2","0.25","1000","0.5","1","0.3","10000000","2","1000","2","1000","11","0","0","0.5303571428571429"
